clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
time_ms,vibration,mag_x,mag_y,mag_z,distance_cm
52,0,-42,-158,1498,-1.00
584,0,-42,-156,1496,-1.00
1091,0,-48,-156,1488,57.22
1598,0,-40,-153,1493,56.80
2105,0,-45,-163,1515,61.49
2638,0,-48,-158,1512,-1.00
3170,0,-53,-171,1491,-1.00
3702,0,-37,-161,1491,-1.00
4209,0,-40,-171,1505,59.21
4717,0,-53,-163,1493,58.21
5250,0,-66,-166,1493,-1.00
5757,0,-58,-161,1491,57.09
6264,0,-63,-171,1493,56.92
6796,0,-48,-171,1498,-1.00
7303,0,-48,-171,1493,56.78
7810,0,-45,-168,1488,52.48
8342,0,-45,-156,1515,-1.00
8849,0,-68,-158,1498,54.55
9381,0,-53,-163,1496,-1.00
9888,0,-56,-163,1515,57.07
10395,0,-58,-166,1505,55.25
10902,0,-53,-158,1517,57.10
11409,0,-40,-178,1493,48.86
11916,0,-58,-163,1493,57.07
12423,0,-53,-163,1498,47.45
12928,0,-53,-156,1493,16.46
13434,0,-45,-166,1491,44.37
13941,0,-35,-163,1476,45.20
14449,0,-56,-163,1493,49.47
14956,0,-71,-161,1507,51.63
15463,0,-53,-156,1498,51.44
15970,0,-48,-163,1493,51.61
16477,0,-48,-168,1488,50.58
16981,0,-45,-156,1507,3.59
17486,0,-58,-158,1501,16.13
17992,0,-45,-163,1496,37.35
18499,0,-51,-158,1491,57.09
19006,0,-42,-148,1505,56.63
19513,0,-51,-153,1496,52.67
20020,0,-42,-171,1501,51.27
20527,1,-73,-205,1512,60.79
21060,1,-91,-263,1573,-1.00
21592,0,-83,-248,1576,-1.00
22099,0,-58,-238,1566,56.93
22606,1,-63,-156,1600,53.70
23113,0,-40,-161,1576,52.33
23620,0,-5,-173,1566,59.50
24128,0,-5,-166,1553,52.65
24635,0,-7,-166,1571,50.40
25141,0,-12,-158,1576,43.38
25648,0,0,-146,1578,42.24
26155,0,-15,-132,1612,39.22
26661,0,51,-151,1610,37.59
27167,0,-2,-148,1615,39.22
27673,0,15,-125,1622,43.78
28180,0,35,-127,1602,39.22
28686,0,81,-137,1610,37.83
29192,0,61,-137,1586,40.39
29698,0,78,-132,1602,40.39
30204,0,68,-132,1600,44.61
30711,0,353,246,1781,43.38
31218,0,728,826,1517,39.92
31724,0,743,821,1517,44.98
32232,0,726,808,1540,50.24
32738,0,711,808,1542,44.00
33245,0,721,821,1545,45.39
33753,0,711,818,1545,56.92
34260,0,708,816,1556,45.59
34767,0,723,821,1540,45.61
35273,0,716,821,1547,43.16
35781,0,706,833,1553,51.78
36286,0,708,823,1542,24.67
36794,0,713,831,1561,52.14
37300,0,692,721,1493,37.37
37806,0,-12,-163,1491,36.43
38313,0,71,-110,1622,51.12
38820,0,66,-91,1617,56.63
39327,0,68,-86,1605,56.93
39834,0,58,-110,1620,56.47
40340,0,63,-110,1622,29.38
40845,0,190,156,1186,17.10
41350,0,251,186,972,18.07
41855,0,63,-112,1593,24.36
42363,0,42,-105,1600,54.91
42870,0,71,-107,1610,47.84
43377,0,56,-115,1605,54.21
43884,0,68,-112,1635,52.99
44391,0,63,-115,1612,48.86
44898,0,56,-100,1610,50.24
45405,0,53,-122,1612,56.12
45912,0,73,-102,1622,47.65
46417,0,61,-102,1632,18.72
46923,0,66,-102,1617,43.16
47430,0,66,-102,1620,38.28
47935,0,66,-102,1620,16.13
48442,0,61,-117,1612,51.46
48947,0,68,-102,1607,28.19
49454,0,78,-7,1566,45.39
49961,0,-88,382,1008,45.41
50468,0,-110,660,1116,41.09
50974,0,53,-32,1576,19.04
51481,0,58,-102,1612,53.52
51988,0,61,-102,1607,59.48
52496,0,51,-105,1617,54.21
53003,0,66,-112,1622,50.25
53510,0,66,-100,1625,56.46
54014,0,53,-105,1620,9.74
54519,0,73,-110,1620,7.11
55027,0,68,-107,1617,56.12
55533,0,73,-112,1617,36.43
56037,0,78,-105,1615,5.18
56544,0,71,-112,1615,60.38
57051,0,71,-120,1617,38.96
57557,0,63,-110,1630,38.51
58063,0,66,-115,1620,38.98
58569,0,58,-112,1605,40.15
59076,0,71,-127,1615,56.63
59583,0,61,-112,1617,55.42
60090,0,63,-110,1610,56.93
60597,0,66,-97,1627,53.18
61104,0,61,-117,1605,51.63
61611,0,73,-97,1610,52.50
62116,0,61,-115,1686,16.46
62622,0,95,-97,1630,44.59
63128,0,68,-100,1632,18.72
63635,0,71,-102,1615,57.09
64142,0,56,-117,1617,57.51
64649,0,68,-102,1617,54.72
65156,0,63,-107,1630,52.48
65663,0,63,-112,1607,49.88
66170,0,56,-102,1612,50.06
66677,0,61,-105,1620,57.66
67184,0,61,-102,1617,56.78
67691,0,63,-112,1617,53.01
68198,0,56,-117,1605,51.42
68705,0,68,-107,1630,50.22
69212,0,63,-107,1615,56.78
69719,0,66,-112,1600,56.78
70226,0,63,-117,1612,50.61
70733,0,63,-110,1607,50.06
71240,0,68,-122,1617,50.06
71747,0,58,-110,1600,50.06
72254,0,68,-105,1632,47.43
72761,0,83,-125,1617,48.64
73268,0,66,-107,1620,50.40
73775,0,61,-105,1615,50.76
74282,0,71,-110,1602,55.93
74789,0,68,-110,1632,50.40
75296,0,68,-112,1622,52.99
75803,0,71,-107,1627,53.69
76310,0,86,-102,1610,50.42
76817,0,66,-102,1610,52.82
77324,0,71,-105,1620,50.24
77831,0,73,-95,1600,53.69
78338,0,68,-97,1602,50.05
78845,0,95,-95,1593,50.74
79352,0,73,-78,1610,49.25
79859,0,76,-107,1612,50.76
80366,0,71,-102,1602,50.73
80873,0,83,-102,1607,50.74
81380,0,81,-105,1617,52.14
81887,0,76,-102,1602,50.40
82394,0,73,-95,1620,50.76
82901,0,76,-105,1615,47.82
83408,0,66,-110,1610,50.58
83915,0,66,-100,1600,48.26
84422,0,81,-115,1615,48.43
84929,0,61,-122,1612,46.00
85436,0,73,-105,1602,50.24
85943,0,76,-97,1597,56.93
